team_name,lang,method,bleu_orig,bleu_gold,sari,bert
BASELINE1,AR,RUN1,13.465356923467088,10.394140731565177,35.76891693392182,0.9252156468610916
BASELINE1,CA,RUN1,14.432500821831947,10.206349644069547,44.01449793728881,0.9045294637680054
BASELINE1,ES,RUN1,18.949062180263464,10.885039523280524,43.28734446535192,0.912988131790492
BASELINE1,IT,RUN1,16.581664526379214,10.146005994024712,46.50772308882108,0.9111124732140864
DoNothing,AR,RUN1,100.00000000000004,43.87713417371669,20.49732009401923,0.9494692769946244
DoNothing,CA,RUN1,100.00000000000004,15.102476474679127,11.961684638112969,0.9241572624842326
DoNothing,ES,RUN1,100.00000000000004,23.2176025597299,13.868682484434204,0.9296846506912584
DoNothing,IT,RUN1,100.00000000000004,12.399069300154098,10.37220515896175,0.9146618899486796
BASELINE2,AR,RUN1,9.963215766598571,5.157334131754206,30.317870188582976,0.8754475528285617
BASELINE2,CA,RUN1,28.03632540431049,8.7004195281813,40.573219273211045,0.9123434510231018
BASELINE2,ES,RUN1,29.09127971176883,9.390392752478096,37.17614289457029,0.9018753307058632
BASELINE2,IT,RUN1,24.73967891191453,6.254582531313612,39.52340912369056,0.8975786290334227
FACILE,ES,RUN1,3.0008827517771617,2.8643856885934955,41.61288495380078,0.8783163895152207
VICOMTECH,AR,RUN1,44.01511362627747,30.794961100439856,39.30530821893624,0.934976219815552
VICOMTECH,AR,RUN2,25.567193941831416,20.478286626791867,37.19382211211632,0.9194296902765042
VICOMTECH,AR,RUN3,41.49347443562817,31.0957027059254,38.99843366061785,0.9358461959652168
VICOMTECH,CA,RUN1,15.33255581744004,9.96987817793566,44.7111544440873,0.9100697518984476
VICOMTECH,CA,RUN2,51.01180832155781,11.43789105389926,36.18006865463622,0.9232696495056152
VICOMTECH,CA,RUN3,30.245175528372904,9.614925921922731,42.554397871881896,0.9213984653155008
VICOMTECH,ES,RUN1,12.485734979475216,9.331561303427463,44.18804429400591,0.911418784388228
VICOMTECH,ES,RUN2,32.07148873383428,14.74848708843622,42.172372120648745,0.9245951842365926
VICOMTECH,ES,RUN3,20.79124073706596,14.108624565065778,45.584290147502,0.9240595493357996
VICOMTECH,IT,RUN1,9.041389489308614,8.013356633614588,46.47590369198523,0.9136903191966588
VICOMTECH,IT,RUN2,45.01723535406312,9.488961540393886,37.01145376777004,0.915450665100892
VICOMTECH,IT,RUN3,30.65629020555279,8.699847808428457,41.63367601076017,0.9147503802828983
HULAT1,ES,RUN1,37.15813422366323,18.20807363964629,43.38736111360097,0.9275557731272858
HULAT1,ES,RUN2,33.181494904087195,17.713517332016686,45.01824752565553,0.927214219046466
HULAT1,ES,RUN3,31.560802094833385,17.162690245198043,44.74651792530909,0.9272477003191248
HULAT1,IT,RUN1,34.64595349961348,15.585525462157795,43.97598137293851,0.9228640759028848
HULAT1,IT,RUN2,24.71068764611849,15.10858019726454,48.66895906595803,0.9252348194362988
HULAT1,IT,RUN3,23.43500867272393,16.002120119799162,48.68303885097521,0.9244971728475312
HULAT2,ES,RUN1,35.573044689005506,17.57150793984149,44.05426170201354,0.9263478632951748
HULAT2,ES,RUN2,34.15635280831874,16.148350940720363,43.10485543808311,0.924814673345213
HULAT2,ES,RUN3,2.403673612885257,5.337307384114761,38.51358701700164,0.911389344000403
ClearText,CA,RUN1,18.699658337095364,12.950346818663377,48.78037009503857,0.921227035522461
ClearText,ES,RUN1,18.00131360572156,15.448332489182048,47.01681830585477,0.9219943893093594
ClearText,IT,RUN1,18.63199860028679,13.87826547324625,49.83732528516945,0.9220428961308595
HumanAI,ES,RUN1,38.340200168651016,15.08304970591831,40.41633087040394,0.9209247352070892
HumanAI,ES,RUN2,26.979153071655585,11.84047479333543,41.619637883319776,0.9111449594442556
HumanAI,ES,RUN3,45.02361179324445,14.529812031853268,36.244957334648994,0.9124741511193314
NIL_UCM,ES,RUN1,6.057433157855899,2.5774993616050077,39.68725397875147,0.8780449279126404
NIL_UCM,ES,RUN2,11.381847847774567,4.797988423364804,40.51753639203187,0.9025917063558722
